country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,207,196,208,206,202,180,188,168,198,160
Belgium,282,315,321,348,335,312,245,280,309,369
Croatia,143,159,150,132,151,128,97,112,91,89
Germany,851,863,834,769,933,899,888,899,844,928
Hungary,199,174,177,151,167,178,107,101,119,125
Luxembourg,4,3,3,9,7,5,3,2,8,7
Netherlands,271,265,235,244,273,250,251,271,285,292,
Slovenia,43,53,41,39,40,38,39,39,49,58
